team1,team2,year,score1,score2,winner,over_or_under,amount,confidence_level
Packers,Eagles,2010,9,1,Packers,under,40,0.7
Lions,Ravens,2010,14,14,Ravens,under,22,0.71
Chiefs,Ravens,2010,6,6,Ravens,under,38,0.65
Chiefs,Lions,2010,7,20,Lions,under,23,0.56
Bills,Ravens,2010,9,27,Ravens,under,14,0.59
Bills,Lions,2010,4,22,Lions,under,24,0.4
Bills,Chiefs,2010,15,9,Bills,under,26,0.56
Eagles,Ravens,2010,3,0,Eagles,under,47,0.6
Eagles,Lions,2010,12,12,Lions,under,26,0.77
Eagles,Chiefs,2010,2,8,Chiefs,under,40,0.5
Eagles,Bills,2010,6,10,Bills,under,34,0.58
Vikings,Ravens,2010,15,15,Ravens,under,20,0.76
Vikings,Lions,2010,14,20,Lions,under,16,0.6
Vikings,Chiefs,2010,10,2,Vikings,under,38,0.59
Vikings,Bills,2010,2,4,Bills,under,44,0.78
Vikings,Eagles,2010,5,4,Vikings,under,41,0.72
Steelers,Ravens,2010,7,19,Ravens,under,24,0.33
Steelers,Lions,2010,5,14,Lions,under,31,0.78
Steelers,Chiefs,2010,0,18,Chiefs,under,32,0.52
Steelers,Bills,2010,11,24,Bills,under,15,0.64
Steelers,Eagles,2010,5,5,Eagles,under,40,0.75
Steelers,Vikings,2010,2,2,Vikings,under,46,0.73
Packers,Ravens,2010,4,23,Ravens,under,23,0.4
Packers,Lions,2010,2,0,Packers,under,48,0.51
Packers,Chiefs,2010,1,24,Chiefs,under,25,0.69
Packers,Bills,2010,0,1,Bills,under,49,0.67
Packers,Eagles,2010,6,12,Eagles,under,32,0.54
Packers,Vikings,2010,1,15,Vikings,under,34,0.48
Packers,Steelers,2010,0,9,Steelers,under,41,0.79
Texans,Ravens,2010,1,4,Ravens,under,45,0.7
Texans,Lions,2010,0,15,Lions,under,35,0.41
Texans,Chiefs,2010,5,1,Texans,under,44,0.51
Texans,Bills,2010,6,6,Bills,under,38,0.54
Texans,Eagles,2010,2,5,Eagles,under,43,0.65
Texans,Vikings,2010,5,5,Vikings,under,40,0.61
Texans,Steelers,2010,6,7,Steelers,under,37,0.57
Texans,Packers,2010,4,6,Packers,under,40,0.69
Commanders,Ravens,2010,0,25,Ravens,under,25,0.45
Commanders,Lions,2010,1,7,Lions,under,42,0.53
Commanders,Chiefs,2010,0,8,Chiefs,under,42,0.64
Commanders,Bills,2010,2,20,Bills,under,28,0.68
Commanders,Eagles,2010,0,5,Eagles,under,45,0.8
Commanders,Vikings,2010,0,14,Vikings,under,36,0.31
Commanders,Steelers,2010,0,4,Steelers,under,46,0.74
Commanders,Packers,2010,3,10,Packers,under,37,0.8
Commanders,Texans,2010,0,3,Texans,under,47,0.62
Lions,Ravens,2010,1,9,Ravens,under,40,0.71
Chiefs,Ravens,2010,2,23,Ravens,under,25,0.63
Chiefs,Lions,2010,18,21,Lions,under,11,0.52
Bills,Ravens,2010,16,5,Bills,under,29,0.68
Bills,Lions,2010,0,24,Lions,under,26,0.38
Bills,Chiefs,2010,18,7,Bills,under,25,0.63
Eagles,Ravens,2010,18,23,Ravens,under,9,0.72
Eagles,Lions,2010,2,3,Lions,under,45,0.76
Eagles,Chiefs,2010,21,17,Eagles,under,12,0.78
Eagles,Bills,2010,6,3,Eagles,under,41,0.62
Vikings,Ravens,2010,0,13,Ravens,under,37,0.41
Vikings,Lions,2010,15,4,Vikings,under,31,0.44
Vikings,Chiefs,2010,9,6,Vikings,under,35,0.65
Vikings,Bills,2010,11,6,Vikings,under,33,0.61
Vikings,Eagles,2010,13,5,Vikings,under,32,0.78
Steelers,Ravens,2010,5,17,Ravens,under,28,0.6
Steelers,Lions,2010,0,23,Lions,under,27,0.6
Steelers,Chiefs,2010,6,11,Chiefs,under,33,0.69
Steelers,Bills,2010,15,3,Steelers,under,32,0.53
Steelers,Eagles,2010,0,12,Eagles,under,38,0.35
Steelers,Vikings,2010,11,5,Steelers,under,34,0.73
Packers,Ravens,2010,0,19,Ravens,under,31,0.61
Packers,Lions,2010,1,17,Lions,under,32,0.45
Packers,Chiefs,2010,1,2,Chiefs,under,47,0.7
Packers,Bills,2010,2,25,Bills,under,23,0.33
Packers,Eagles,2010,4,14,Eagles,under,32,0.66
Packers,Vikings,2010,6,1,Packers,under,43,0.78
Packers,Steelers,2010,6,6,Steelers,under,38,0.69
Texans,Ravens,2010,1,13,Ravens,under,36,0.35
Texans,Lions,2010,1,11,Lions,under,38,0.44
Texans,Chiefs,2010,10,7,Texans,under,33,0.73
Texans,Bills,2010,0,0,Bills,under,50,0.57
Texans,Eagles,2010,0,5,Eagles,under,45,0.77
Texans,Vikings,2010,2,7,Vikings,under,41,0.59
Texans,Steelers,2010,2,0,Texans,under,48,0.5
Texans,Packers,2010,4,3,Texans,under,43,0.76
Commanders,Ravens,2010,0,11,Ravens,under,39,0.68
Commanders,Lions,2010,2,0,Commanders,under,48,0.64
Commanders,Chiefs,2010,0,9,Chiefs,under,41,0.57
Commanders,Bills,2010,1,8,Bills,under,41,0.6
Commanders,Eagles,2010,2,2,Eagles,under,46,0.6
Commanders,Vikings,2010,2,6,Vikings,under,42,0.63
Commanders,Steelers,2010,0,7,Steelers,under,43,0.71
Commanders,Packers,2010,0,4,Packers,under,46,0.78
Commanders,Texans,2010,0,3,Texans,under,47,0.51
Lions,Ravens,2010,2,8,Ravens,under,40,0.74
Chiefs,Ravens,2010,11,1,Chiefs,under,38,0.57
Chiefs,Lions,2010,0,20,Lions,under,30,0.36
Bills,Ravens,2010,2,22,Ravens,under,26,0.32
Bills,Lions,2010,17,12,Bills,under,21,0.72
Bills,Chiefs,2010,21,22,Chiefs,under,7,0.53
Texans,Eagles,2010,3,2,Texans,under,45,0.78
Texans,Bills,2010,0,17,Bills,under,33,0.63
Texans,Chiefs,2010,5,3,Texans,under,42,0.61
Texans,Lions,2010,0,13,Lions,under,37,0.69
Texans,Ravens,2010,2,21,Ravens,under,27,0.39
Packers,Steelers,2010,4,2,Packers,under,44,0.61
Packers,Vikings,2010,1,17,Vikings,under,32,0.41
Packers,Eagles,2010,0,15,Eagles,under,35,0.56
Packers,Bills,2010,2,11,Bills,under,37,0.68
Packers,Chiefs,2010,12,3,Packers,under,35,0.51
Packers,Lions,2010,2,14,Lions,under,34,0.37
Packers,Ravens,2010,0,5,Ravens,under,45,0.55
Steelers,Vikings,2010,2,2,Vikings,under,46,0.63
Steelers,Eagles,2010,3,3,Eagles,under,44,0.66
Steelers,Bills,2010,4,4,Bills,under,42,0.74
Steelers,Chiefs,2010,4,19,Chiefs,under,27,0.53
Steelers,Lions,2010,5,11,Lions,under,34,0.6
Steelers,Ravens,2010,4,1,Steelers,under,45,0.75
Vikings,Eagles,2010,2,2,Eagles,under,46,0.53
Vikings,Bills,2010,14,16,Bills,under,20,0.69
Eagles,Ravens,2010,4,15,Ravens,under,31,0.49
Eagles,Lions,2010,7,10,Lions,under,33,0.65
Eagles,Chiefs,2010,14,7,Eagles,under,29,0.5
Eagles,Bills,2010,0,5,Bills,under,45,0.63
Vikings,Ravens,2010,3,0,Vikings,under,47,0.71
Vikings,Lions,2010,5,25,Lions,under,20,0.64
Vikings,Chiefs,2010,2,0,Vikings,under,48,0.64
Vikings,Chiefs,2011,1,21,Chiefs,under,28,0.33
Vikings,Ravens,2011,0,0,Ravens,under,50,0.58
Eagles,Bills,2011,16,12,Eagles,under,22,0.63
Eagles,Chiefs,2011,0,18,Chiefs,under,32,0.33
Eagles,Lions,2011,7,3,Eagles,under,40,0.79
Eagles,Ravens,2011,17,10,Eagles,under,23,0.7
Bills,Chiefs,2011,11,17,Chiefs,under,22,0.59
Bills,Lions,2011,10,0,Bills,under,40,0.42
Bills,Ravens,2011,22,23,Ravens,under,5,0.58
Chiefs,Lions,2011,14,6,Chiefs,under,30,0.72
Chiefs,Ravens,2011,9,10,Ravens,under,31,0.74
Lions,Ravens,2011,25,29,Ravens,over,4,0.55
Commanders,Texans,2011,3,1,Commanders,under,46,0.6
Commanders,Packers,2011,1,1,Packers,under,48,0.58
Commanders,Steelers,2011,3,5,Steelers,under,42,0.62
Commanders,Vikings,2011,6,1,Commanders,under,43,0.74
Commanders,Eagles,2011,0,1,Eagles,under,49,0.51
Commanders,Bills,2011,6,5,Commanders,under,39,0.7
Commanders,Chiefs,2011,0,20,Chiefs,under,30,0.4
Commanders,Lions,2011,0,21,Lions,under,29,0.48
Commanders,Ravens,2011,2,1,Commanders,under,47,0.62
Texans,Packers,2011,2,0,Texans,under,48,0.67
Texans,Steelers,2011,4,6,Steelers,under,40,0.65
Texans,Vikings,2011,1,7,Vikings,under,42,0.6
Texans,Eagles,2011,1,11,Eagles,under,38,0.57
Lions,Ravens,2011,10,8,Lions,under,32,0.55
Chiefs,Ravens,2011,14,16,Ravens,under,20,0.71
Chiefs,Lions,2011,10,12,Lions,under,28,0.75
Bills,Ravens,2011,5,5,Ravens,under,40,0.79
Bills,Lions,2011,1,4,Lions,under,45,0.59
Bills,Chiefs,2011,5,7,Chiefs,under,38,0.73
Eagles,Ravens,2011,14,11,Eagles,under,25,0.54
Eagles,Lions,2011,0,10,Lions,under,40,0.36
Eagles,Chiefs,2011,7,7,Chiefs,under,36,0.56
Eagles,Bills,2011,15,14,Eagles,under,21,0.62
Vikings,Ravens,2011,6,9,Ravens,under,35,0.71
Vikings,Lions,2011,1,8,Lions,under,41,0.76
Vikings,Chiefs,2011,5,18,Chiefs,under,27,0.45
Vikings,Bills,2011,11,17,Bills,under,22,0.67
Vikings,Eagles,2011,6,1,Vikings,under,43,0.56
Steelers,Ravens,2011,13,19,Ravens,under,18,0.73
Steelers,Lions,2011,1,5,Lions,under,44,0.78
Steelers,Chiefs,2011,2,0,Steelers,under,48,0.75
Steelers,Bills,2011,8,15,Bills,under,27,0.53
Steelers,Eagles,2011,5,16,Eagles,under,29,0.53
Steelers,Vikings,2011,3,14,Vikings,under,33,0.43
Packers,Ravens,2011,7,9,Ravens,under,34,0.66
Packers,Lions,2011,1,24,Lions,under,25,0.5
Packers,Chiefs,2011,7,6,Packers,under,37,0.64
Packers,Bills,2011,8,15,Bills,under,27,0.75
Packers,Eagles,2011,0,12,Eagles,under,38,0.5
Packers,Vikings,2011,3,18,Vikings,under,29,0.68
Packers,Steelers,2011,7,4,Packers,under,39,0.59
Texans,Ravens,2011,4,0,Texans,under,46,0.59
Texans,Lions,2011,0,1,Lions,under,49,0.66
Texans,Chiefs,2011,0,9,Chiefs,under,41,0.66
Texans,Bills,2011,5,12,Bills,under,33,0.61
Commanders,Packers,2011,0,11,Packers,under,39,0.4
Commanders,Steelers,2011,0,4,Steelers,under,46,0.52
Commanders,Vikings,2011,2,9,Vikings,under,39,0.53
Commanders,Eagles,2011,0,15,Eagles,under,35,0.58
Commanders,Bills,2011,0,1,Bills,under,49,0.61
Commanders,Chiefs,2011,4,3,Commanders,under,43,0.55
Commanders,Lions,2011,0,9,Lions,under,41,0.68
Commanders,Ravens,2011,0,22,Ravens,under,28,0.41
Texans,Packers,2011,5,4,Texans,under,41,0.71
Texans,Steelers,2011,3,3,Steelers,under,44,0.7
Texans,Vikings,2011,3,5,Vikings,under,42,0.65
Texans,Eagles,2011,7,11,Eagles,under,32,0.73
Texans,Bills,2011,3,12,Bills,under,35,0.58
Texans,Chiefs,2011,0,6,Chiefs,under,44,0.65
Texans,Lions,2011,10,8,Texans,under,32,0.74
Texans,Ravens,2011,0,0,Ravens,under,50,0.53
Packers,Steelers,2011,11,8,Packers,under,31,0.73
Packers,Vikings,2011,2,10,Vikings,under,38,0.57
Packers,Eagles,2011,2,13,Eagles,under,35,0.37
Packers,Bills,2011,10,4,Packers,under,36,0.51
Packers,Chiefs,2011,1,20,Chiefs,under,29,0.49
Packers,Lions,2011,0,18,Lions,under,32,0.68
Packers,Ravens,2011,12,5,Packers,under,33,0.76
Steelers,Vikings,2011,16,4,Steelers,under,30,0.4
Steelers,Eagles,2011,9,14,Eagles,under,27,0.79
Steelers,Bills,2011,8,5,Steelers,under,37,0.58
Steelers,Chiefs,2011,5,14,Chiefs,under,31,0.67
Steelers,Lions,2011,1,24,Lions,under,25,0.55
Steelers,Ravens,2011,5,24,Ravens,under,21,0.37
Vikings,Eagles,2011,4,17,Eagles,under,29,0.34
Vikings,Bills,2011,10,3,Vikings,under,37,0.74
Vikings,Chiefs,2011,1,2,Chiefs,under,47,0.64
Vikings,Lions,2011,2,23,Lions,under,25,0.62
Vikings,Ravens,2011,3,5,Ravens,under,42,0.54
Eagles,Bills,2011,7,2,Eagles,under,41,0.61
Eagles,Chiefs,2011,2,19,Chiefs,under,29,0.41
Eagles,Lions,2011,6,11,Lions,under,33,0.75
Eagles,Ravens,2011,0,17,Ravens,under,33,0.33
Bills,Chiefs,2011,5,12,Chiefs,under,33,0.74
Bills,Lions,2011,3,6,Lions,under,41,0.68
Bills,Ravens,2011,14,2,Bills,under,34,0.39
Chiefs,Lions,2011,15,14,Chiefs,under,21,0.53
Chiefs,Ravens,2011,20,9,Chiefs,under,21,0.56
Lions,Ravens,2011,20,13,Lions,under,17,0.55
Commanders,Texans,2011,1,6,Texans,under,43,0.75
Commanders,Packers,2011,0,6,Packers,under,44,0.74
Commanders,Steelers,2011,1,5,Steelers,under,44,0.74
Commanders,Vikings,2011,1,10,Vikings,under,39,0.75
Commanders,Eagles,2011,0,2,Eagles,under,48,0.54
Commanders,Bills,2011,0,10,Bills,under,40,0.46
Commanders,Chiefs,2011,1,12,Chiefs,under,37,0.53
Commanders,Lions,2011,3,8,Lions,under,39,0.63
Commanders,Ravens,2011,0,13,Ravens,under,37,0.47
Texans,Packers,2011,2,8,Packers,under,40,0.7
Texans,Steelers,2011,0,10,Steelers,under,40,0.31
Texans,Vikings,2011,1,4,Vikings,under,45,0.55
Texans,Eagles,2011,1,5,Eagles,under,44,0.58
Texans,Bills,2011,3,0,Texans,under,47,0.57
Texans,Chiefs,2011,5,12,Chiefs,under,33,0.51
Texans,Lions,2011,8,25,Lions,under,17,0.63
Texans,Ravens,2011,3,29,Ravens,under,18,0.45
Packers,Steelers,2011,4,11,Steelers,under,35,0.59
Packers,Vikings,2011,4,9,Vikings,under,37,0.53
Packers,Eagles,2011,3,1,Packers,under,46,0.6
Packers,Bills,2011,3,11,Bills,under,36,0.54
Packers,Chiefs,2011,3,2,Packers,under,45,0.8
Packers,Lions,2011,0,10,Lions,under,40,0.52
Packers,Ravens,2011,7,34,Ravens,under,9,0.67
Steelers,Vikings,2011,4,7,Vikings,under,39,0.69
Steelers,Eagles,2011,6,0,Steelers,under,44,0.66
Steelers,Bills,2011,12,3,Steelers,under,35,0.8
Steelers,Chiefs,2011,2,6,Chiefs,under,42,0.52
Steelers,Lions,2011,8,9,Lions,under,33,0.59
Steelers,Ravens,2011,6,2,Steelers,under,42,0.69
Vikings,Eagles,2011,16,6,Vikings,under,28,0.67
Vikings,Bills,2011,6,13,Bills,under,31,0.57
Vikings,Chiefs,2011,13,19,Chiefs,under,18,0.71
Vikings,Lions,2011,3,6,Lions,under,41,0.51
Vikings,Ravens,2011,14,19,Ravens,under,17,0.53
Eagles,Bills,2011,4,12,Bills,under,34,0.68
Eagles,Chiefs,2011,9,17,Chiefs,under,24,0.69
Commanders,Texans,2011,4,0,Commanders,under,46,0.68
Eagles,Lions,2011,10,7,Eagles,under,33,0.63
Eagles,Ravens,2011,14,11,Eagles,under,25,0.74
Bills,Chiefs,2011,6,3,Bills,under,41,0.74
Bills,Lions,2011,3,7,Lions,under,40,0.62
Bills,Ravens,2011,4,21,Ravens,under,25,0.67
Chiefs,Lions,2011,3,12,Lions,under,35,0.51
Chiefs,Ravens,2011,4,3,Chiefs,under,43,0.74
Lions,Ravens,2011,16,5,Lions,under,29,0.36
Commanders,Texans,2011,0,0,Texans,under,50,0.63
Commanders,Packers,2011,0,2,Packers,under,48,0.77
Commanders,Steelers,2011,0,11,Steelers,under,39,0.44
Commanders,Vikings,2011,0,0,Vikings,under,50,0.53
Commanders,Eagles,2011,6,6,Eagles,under,38,0.64
Commanders,Bills,2011,0,1,Bills,under,49,0.6
Commanders,Chiefs,2011,0,22,Chiefs,under,28,0.3
Commanders,Lions,2011,2,0,Commanders,under,48,0.56
Commanders,Ravens,2011,0,18,Ravens,under,32,0.65
Texans,Packers,2011,0,0,Packers,under,50,0.78
Texans,Steelers,2011,1,6,Steelers,under,43,0.65
Texans,Vikings,2011,1,5,Vikings,under,44,0.58
Texans,Eagles,2011,2,7,Eagles,under,41,0.51
Texans,Bills,2011,0,9,Bills,under,41,0.67
Texans,Chiefs,2011,2,10,Chiefs,under,38,0.77
Texans,Lions,2011,6,14,Lions,under,30,0.57
Texans,Ravens,2011,0,8,Ravens,under,42,0.6
Packers,Steelers,2011,0,9,Steelers,under,41,0.7
Packers,Vikings,2011,4,11,Vikings,under,35,0.57
Packers,Eagles,2011,8,0,Packers,under,42,0.62
Packers,Bills,2011,11,1,Packers,under,38,0.7
Packers,Chiefs,2011,6,13,Chiefs,under,31,0.71
Packers,Lions,2011,1,12,Lions,under,37,0.47
Packers,Ravens,2011,0,0,Ravens,under,50,0.61
Steelers,Vikings,2011,4,3,Steelers,under,43,0.54
Steelers,Eagles,2011,2,4,Eagles,under,44,0.55
Steelers,Bills,2011,4,11,Bills,under,35,0.64
Steelers,Chiefs,2011,9,11,Chiefs,under,30,0.6
Steelers,Lions,2011,7,2,Steelers,under,41,0.7
Steelers,Ravens,2011,7,12,Ravens,under,31,0.7
Vikings,Eagles,2011,1,0,Vikings,under,49,0.69
Vikings,Bills,2011,2,14,Bills,under,34,0.31
Vikings,Lions,2011,0,18,Lions,under,32,0.34
Texans,Bills,2012,0,9,Bills,under,41,0.55
Texans,Chiefs,2012,0,17,Chiefs,under,33,0.32
Texans,Lions,2012,3,14,Lions,under,33,0.45
Texans,Ravens,2012,4,2,Texans,under,44,0.54
Packers,Steelers,2012,7,5,Packers,under,38,0.52
Packers,Vikings,2012,2,7,Vikings,under,41,0.74
Packers,Eagles,2012,4,1,Packers,under,45,0.6
Packers,Bills,2012,0,23,Bills,under,27,0.44
Packers,Chiefs,2012,7,28,Chiefs,under,15,0.31
Packers,Lions,2012,8,22,Lions,under,20,0.39
Packers,Ravens,2012,4,3,Packers,under,43,0.72
Steelers,Vikings,2012,8,4,Steelers,under,38,0.67
Steelers,Eagles,2012,1,1,Eagles,under,48,0.69
Steelers,Bills,2012,9,8,Steelers,under,33,0.67
Steelers,Chiefs,2012,4,18,Chiefs,under,28,0.54
Steelers,Lions,2012,7,1,Steelers,under,42,0.65
Steelers,Ravens,2012,6,22,Ravens,under,22,0.58
Vikings,Eagles,2012,7,4,Vikings,under,39,0.77
Vikings,Bills,2012,12,3,Vikings,under,35,0.54
Vikings,Chiefs,2012,11,2,Vikings,under,37,0.62
Vikings,Lions,2012,12,16,Lions,under,22,0.68
Vikings,Ravens,2012,11,25,Ravens,under,14,0.63
Eagles,Bills,2012,3,15,Bills,under,32,0.47
Eagles,Chiefs,2012,7,18,Chiefs,under,25,0.44
Eagles,Lions,2012,5,22,Lions,under,23,0.61
Eagles,Ravens,2012,9,12,Ravens,under,29,0.7
Bills,Chiefs,2012,12,13,Chiefs,under,25,0.71
Bills,Lions,2012,15,24,Lions,under,11,0.65
Bills,Ravens,2012,9,6,Bills,under,35,0.61
Chiefs,Lions,2012,0,27,Lions,under,23,0.33
Chiefs,Ravens,2012,8,10,Ravens,under,32,0.71
Lions,Ravens,2012,8,12,Ravens,under,30,0.51
Texans,Steelers,2012,2,11,Steelers,under,37,0.5
Texans,Vikings,2012,5,20,Vikings,under,25,0.45
Texans,Eagles,2012,0,3,Eagles,under,47,0.65
Texans,Bills,2012,1,1,Bills,under,48,0.77
Texans,Chiefs,2012,0,21,Chiefs,under,29,0.58
Texans,Lions,2012,6,0,Texans,under,44,0.68
Texans,Ravens,2012,2,0,Texans,under,48,0.55
Packers,Steelers,2012,3,5,Steelers,under,42,0.55
Packers,Vikings,2012,10,7,Packers,under,33,0.7
Packers,Eagles,2012,2,4,Eagles,under,44,0.6
Packers,Bills,2012,7,24,Bills,under,19,0.43
Packers,Chiefs,2012,6,14,Chiefs,under,30,0.78
Packers,Lions,2012,7,24,Lions,under,19,0.57
Packers,Ravens,2012,2,8,Ravens,under,40,0.66
Steelers,Vikings,2012,9,0,Steelers,under,41,0.76
Commanders,Texans,2012,0,2,Texans,under,48,0.77
Commanders,Packers,2012,0,6,Packers,under,44,0.72
Commanders,Steelers,2012,0,13,Steelers,under,37,0.32
Commanders,Vikings,2012,8,8,Vikings,under,34,0.71
Steelers,Eagles,2012,5,6,Eagles,under,39,0.58
Steelers,Bills,2012,14,0,Steelers,under,36,0.42
Steelers,Chiefs,2012,0,23,Chiefs,under,27,0.49
Steelers,Lions,2012,10,14,Lions,under,26,0.51
Steelers,Ravens,2012,3,23,Ravens,under,24,0.39
Vikings,Eagles,2012,1,16,Eagles,under,33,0.58
Vikings,Bills,2012,16,6,Vikings,under,28,0.62
Vikings,Chiefs,2012,9,10,Chiefs,under,31,0.7
Vikings,Lions,2012,5,3,Vikings,under,42,0.7
Vikings,Ravens,2012,4,8,Ravens,under,38,0.72
Eagles,Bills,2012,11,0,Eagles,under,39,0.55
Eagles,Chiefs,2012,14,1,Eagles,under,35,0.56
Eagles,Lions,2012,10,15,Lions,under,25,0.71
Eagles,Ravens,2012,16,27,Ravens,under,7,0.53
Bills,Chiefs,2012,16,9,Bills,under,25,0.63
Bills,Lions,2012,23,13,Bills,under,14,0.45
Bills,Ravens,2012,25,27,Ravens,over,2,0.65
Chiefs,Lions,2012,13,8,Chiefs,under,29,0.68
Chiefs,Ravens,2012,13,31,Ravens,under,6,0.63
Lions,Ravens,2012,17,10,Lions,under,23,0.66
Commanders,Texans,2012,0,0,Texans,under,50,0.78
Commanders,Packers,2012,1,5,Packers,under,44,0.72
Commanders,Steelers,2012,0,3,Steelers,under,47,0.5
Commanders,Vikings,2012,2,5,Vikings,under,43,0.68
Commanders,Eagles,2012,0,2,Eagles,under,48,0.56
Commanders,Bills,2012,0,8,Bills,under,42,0.53
Commanders,Chiefs,2012,3,1,Commanders,under,46,0.77
Commanders,Lions,2012,0,24,Lions,under,26,0.39
Commanders,Ravens,2012,4,20,Ravens,under,26,0.39
Texans,Packers,2012,6,11,Packers,under,33,0.57
Texans,Steelers,2012,1,0,Texans,under,49,0.7
Texans,Vikings,2012,4,18,Vikings,under,28,0.49
Texans,Eagles,2012,1,16,Eagles,under,33,0.5
Texans,Bills,2012,0,3,Bills,under,47,0.6
Texans,Chiefs,2012,9,19,Chiefs,under,22,0.38
Texans,Lions,2012,5,10,Lions,under,35,0.7
Texans,Ravens,2012,2,14,Ravens,under,34,0.68
Packers,Steelers,2012,14,12,Packers,under,24,0.54
Packers,Vikings,2012,0,4,Vikings,under,46,0.52
Packers,Eagles,2012,0,14,Eagles,under,36,0.69
Packers,Bills,2012,9,17,Bills,under,24,0.56
Packers,Chiefs,2012,0,13,Chiefs,under,37,0.41
Packers,Lions,2012,7,15,Lions,under,28,0.77
Packers,Ravens,2012,6,20,Ravens,under,24,0.45
Steelers,Vikings,2012,9,8,Steelers,under,33,0.5
Steelers,Eagles,2012,15,9,Steelers,under,26,0.56
Steelers,Bills,2012,2,14,Bills,under,34,0.48
Steelers,Chiefs,2012,5,17,Chiefs,under,28,0.5
Steelers,Lions,2012,15,10,Steelers,under,25,0.63
Steelers,Ravens,2012,4,5,Ravens,under,41,0.76
Vikings,Eagles,2012,2,14,Eagles,under,34,0.33
Vikings,Bills,2012,14,16,Bills,under,20,0.58
Vikings,Chiefs,2012,10,8,Vikings,under,32,0.54
Vikings,Lions,2012,1,17,Lions,under,32,0.7
Vikings,Ravens,2012,14,31,Ravens,under,5,0.38
Eagles,Bills,2012,9,2,Eagles,under,39,0.64
Eagles,Chiefs,2012,17,21,Chiefs,under,12,0.62
Eagles,Lions,2012,9,19,Lions,under,22,0.69
Eagles,Ravens,2012,14,12,Eagles,under,24,0.66
Bills,Chiefs,2012,7,22,Chiefs,under,21,0.6
Bills,Lions,2012,8,26,Lions,under,16,0.44
Bills,Ravens,2012,20,26,Ravens,under,4,0.66
Chiefs,Lions,2012,3,12,Lions,under,35,0.54
Chiefs,Ravens,2012,10,18,Ravens,under,22,0.71
Lions,Ravens,2012,10,5,Lions,under,35,0.54
Commanders,Eagles,2012,0,1,Eagles,under,49,0.69
Commanders,Bills,2012,0,11,Bills,under,39,0.5
