team1,team2,year,over_or_under,amount,confidence_level
Steelers,Ravens,2010,under,33,0.42
Vikings,Eagles,2010,under,40,0.58
Steelers,Chiefs,2010,under,33,0.4
Steelers,Lions,2010,under,27,0.44
Steelers,Ravens,2010,under,28,0.55
Vikings,Eagles,2010,under,32,0.33
Vikings,Bills,2010,under,33,0.44
Packers,Steelers,2010,under,44,0.44
Lions,Ravens,2010,under,15,0.53
Chiefs,Ravens,2010,under,23,0.38
Chiefs,Lions,2010,under,28,0.43
Bills,Ravens,2010,under,30,0.43
Bills,Lions,2010,under,6,0.72
Bills,Chiefs,2010,under,29,0.53
Eagles,Ravens,2010,under,32,0.43
Eagles,Lions,2010,under,21,0.35
Eagles,Chiefs,2010,under,30,0.56
Eagles,Bills,2010,under,13,0.42
Vikings,Ravens,2010,under,31,0.32
Vikings,Lions,2010,under,22,0.52
Vikings,Chiefs,2010,under,30,0.43
Vikings,Bills,2010,under,33,0.45
Texans,Ravens,2010,under,27,0.46
Texans,Lions,2010,under,37,0.42
Texans,Chiefs,2010,under,42,0.5
Texans,Bills,2010,under,33,0.6
Texans,Eagles,2010,under,45,0.46
Texans,Vikings,2010,under,42,0.54
Texans,Steelers,2010,under,38,0.56
Texans,Packers,2010,under,38,0.52
Commanders,Ravens,2010,under,47,0.37
Commanders,Lions,2010,under,37,0.35
Commanders,Chiefs,2010,under,32,0.38
Commanders,Bills,2010,under,30,0.32
Commanders,Eagles,2010,under,38,0.51
Commanders,Vikings,2010,under,47,0.38
Commanders,Steelers,2010,under,49,0.47
Commanders,Packers,2010,under,42,0.54
Commanders,Texans,2010,under,50,0.49
Vikings,Eagles,2010,under,46,0.48
Steelers,Ravens,2010,under,45,0.44
Steelers,Lions,2010,under,34,0.49
Steelers,Chiefs,2010,under,27,0.3
Steelers,Bills,2010,under,42,0.58
Steelers,Eagles,2010,under,44,0.33
Steelers,Vikings,2010,under,46,0.54
Packers,Ravens,2010,under,45,0.39
Packers,Lions,2010,under,34,0.55
Packers,Chiefs,2010,under,35,0.54
Packers,Bills,2010,under,37,0.43
Packers,Eagles,2010,under,35,0.37
Packers,Vikings,2010,under,32,0.42
Vikings,Chiefs,2010,under,48,0.44
Vikings,Lions,2010,under,20,0.44
Vikings,Ravens,2010,under,47,0.42
Eagles,Bills,2010,under,45,0.37
Eagles,Chiefs,2010,under,29,0.31
Eagles,Lions,2010,under,33,0.34
Eagles,Ravens,2010,under,31,0.53
Bills,Chiefs,2010,under,7,0.53
Bills,Lions,2010,under,21,0.34
Bills,Ravens,2010,under,26,0.3
Chiefs,Lions,2010,under,30,0.56
Chiefs,Ravens,2010,under,38,0.46
Lions,Ravens,2010,under,40,0.59
Commanders,Texans,2010,under,47,0.45
Lions,Ravens,2010,under,12,0.54
Chiefs,Ravens,2010,under,18,0.32
Chiefs,Lions,2010,under,29,0.39
Bills,Ravens,2010,under,25,0.49
Bills,Lions,2010,under,0,0.69
Bills,Chiefs,2010,under,38,0.51
Eagles,Ravens,2010,under,32,0.46
Eagles,Lions,2010,under,31,0.45
Eagles,Chiefs,2010,under,27,0.5
Eagles,Bills,2010,under,7,0.67
Vikings,Ravens,2010,under,22,0.59
Vikings,Lions,2010,under,19,0.6
Vikings,Chiefs,2010,under,40,0.4
Vikings,Bills,2010,under,19,0.52
Vikings,Eagles,2010,under,41,0.53
Steelers,Ravens,2010,under,22,0.49
Steelers,Lions,2010,under,35,0.45
Steelers,Chiefs,2010,under,42,0.5
Steelers,Bills,2010,under,45,0.3
Steelers,Eagles,2010,under,26,0.36
Steelers,Vikings,2010,under,35,0.51
Packers,Ravens,2010,under,33,0.5
Packers,Lions,2010,under,29,0.55
Packers,Chiefs,2010,under,46,0.54
Packers,Bills,2010,under,48,0.43
Packers,Eagles,2010,under,31,0.31
Packers,Vikings,2010,under,25,0.41
Packers,Steelers,2010,under,46,0.53
Texans,Ravens,2010,under,28,0.36
Texans,Lions,2010,under,32,0.39
Texans,Chiefs,2010,under,31,0.38
Texans,Bills,2010,under,50,0.44
Texans,Eagles,2010,under,39,0.31
Texans,Vikings,2010,under,40,0.37
Texans,Steelers,2010,under,47,0.48
Texans,Packers,2010,under,44,0.42
Commanders,Ravens,2010,under,25,0.39
Commanders,Lions,2010,under,49,0.4
Commanders,Chiefs,2010,under,33,0.46
Commanders,Bills,2010,under,35,0.56
Commanders,Eagles,2010,under,46,0.55
Commanders,Vikings,2010,under,35,0.38
Commanders,Steelers,2010,under,48,0.33
Commanders,Packers,2010,under,40,0.55
Commanders,Texans,2010,under,48,0.43
Vikings,Chiefs,2010,under,35,0.48
Vikings,Lions,2010,under,31,0.41
Vikings,Ravens,2010,under,37,0.5
Eagles,Bills,2010,under,41,0.48
Eagles,Chiefs,2010,under,12,0.47
Eagles,Lions,2010,under,45,0.54
Eagles,Ravens,2010,under,9,0.61
Bills,Chiefs,2010,under,25,0.38
Bills,Lions,2010,under,26,0.33
Bills,Ravens,2010,under,29,0.49
Chiefs,Lions,2010,under,11,0.39
Chiefs,Ravens,2010,under,25,0.58
Lions,Ravens,2010,under,40,0.58
Commanders,Texans,2010,under,47,0.34
Commanders,Packers,2010,under,37,0.59
Commanders,Steelers,2010,under,46,0.31
Commanders,Vikings,2010,under,36,0.51
Commanders,Eagles,2010,under,45,0.48
Commanders,Bills,2010,under,28,0.45
Commanders,Chiefs,2010,under,42,0.59
Commanders,Lions,2010,under,42,0.42
Commanders,Ravens,2010,under,25,0.43
Texans,Packers,2010,under,40,0.39
Texans,Steelers,2010,under,37,0.38
Texans,Vikings,2010,under,40,0.57
Commanders,Packers,2010,under,46,0.5
Commanders,Steelers,2010,under,43,0.37
Commanders,Vikings,2010,under,42,0.56
Commanders,Eagles,2010,under,46,0.31
Commanders,Bills,2010,under,41,0.38
Commanders,Chiefs,2010,under,41,0.37
Commanders,Lions,2010,under,48,0.48
Commanders,Ravens,2010,under,39,0.46
Texans,Packers,2010,under,43,0.41
Texans,Steelers,2010,under,48,0.33
Texans,Vikings,2010,under,41,0.35
Texans,Eagles,2010,under,45,0.31
Texans,Bills,2010,under,50,0.35
Texans,Chiefs,2010,under,33,0.37
Texans,Lions,2010,under,38,0.52
Texans,Ravens,2010,under,36,0.47
Packers,Steelers,2010,under,38,0.33
Packers,Vikings,2010,under,43,0.47
Packers,Eagles,2010,under,32,0.55
Packers,Bills,2010,under,23,0.51
Commanders,Texans,2011,under,50,0.31
Texans,Eagles,2011,under,38,0.52
Texans,Vikings,2011,under,42,0.51
Texans,Steelers,2011,under,40,0.54
Texans,Packers,2011,under,48,0.55
Commanders,Ravens,2011,under,47,0.49
Commanders,Lions,2011,under,29,0.34
Commanders,Chiefs,2011,under,30,0.38
Commanders,Bills,2011,under,39,0.4
Commanders,Eagles,2011,under,49,0.45
Commanders,Vikings,2011,under,43,0.6
Commanders,Steelers,2011,under,42,0.5
Commanders,Packers,2011,under,48,0.53
Commanders,Texans,2011,under,46,0.49
Lions,Ravens,2011,under,8,0.78
Chiefs,Ravens,2011,under,36,0.41
Chiefs,Lions,2011,under,11,0.54
Bills,Ravens,2011,under,23,0.48
Bills,Lions,2011,under,40,0.41
Bills,Chiefs,2011,under,10,0.56
Eagles,Ravens,2011,over,2,0.63
Eagles,Lions,2011,under,35,0.52
Eagles,Chiefs,2011,under,14,0.47
Eagles,Bills,2011,under,39,0.47
Vikings,Ravens,2011,under,29,0.46
Vikings,Lions,2011,under,20,0.47
Vikings,Chiefs,2011,under,19,0.45
Vikings,Bills,2011,under,32,0.34
Vikings,Eagles,2011,under,34,0.38
Steelers,Ravens,2011,under,32,0.51
Steelers,Lions,2011,under,40,0.55
Steelers,Chiefs,2011,under,31,0.59
Steelers,Bills,2011,under,29,0.53
Steelers,Eagles,2011,under,37,0.32
Steelers,Vikings,2011,under,29,0.59
Packers,Ravens,2011,under,46,0.39
Packers,Lions,2011,under,25,0.57
Packers,Chiefs,2011,under,29,0.3
Packers,Bills,2011,under,46,0.35
Packers,Eagles,2011,under,32,0.42
Packers,Vikings,2011,under,42,0.58
Packers,Steelers,2011,under,45,0.48
Texans,Ravens,2011,under,42,0.6
Texans,Lions,2011,under,45,0.5
Texans,Chiefs,2011,under,29,0.57
Texans,Bills,2011,under,32,0.46
Texans,Eagles,2011,under,42,0.58
Texans,Vikings,2011,under,43,0.32
Texans,Steelers,2011,under,48,0.43
Texans,Packers,2011,under,45,0.38
Commanders,Ravens,2011,under,32,0.35
Commanders,Lions,2011,under,47,0.45
Commanders,Chiefs,2011,under,31,0.52
Commanders,Bills,2011,under,39,0.49
Commanders,Eagles,2011,under,37,0.55
Commanders,Vikings,2011,under,35,0.56
Commanders,Steelers,2011,under,49,0.51
Commanders,Packers,2011,under,49,0.33
Commanders,Texans,2011,under,40,0.38
Lions,Ravens,2011,under,32,0.33
Chiefs,Ravens,2011,under,20,0.4
Chiefs,Lions,2011,under,28,0.4
Bills,Ravens,2011,under,40,0.46
Bills,Lions,2011,under,45,0.59
Bills,Chiefs,2011,under,38,0.46
Eagles,Ravens,2011,under,25,0.5
Eagles,Lions,2011,under,40,0.4
Eagles,Chiefs,2011,under,36,0.36
Eagles,Bills,2011,under,21,0.34
Vikings,Ravens,2011,under,35,0.5
Vikings,Lions,2011,under,41,0.58
Vikings,Chiefs,2011,under,27,0.36
Vikings,Bills,2011,under,22,0.4
Vikings,Eagles,2011,under,43,0.53
Steelers,Ravens,2011,under,18,0.38
Steelers,Lions,2011,under,44,0.43
Steelers,Chiefs,2011,under,48,0.56
Steelers,Bills,2011,under,27,0.51
Steelers,Eagles,2011,under,29,0.59
Steelers,Vikings,2011,under,33,0.55
Packers,Ravens,2011,under,34,0.56
Packers,Lions,2011,under,25,0.57
Packers,Chiefs,2011,under,37,0.38
Packers,Bills,2011,under,27,0.59
Packers,Eagles,2011,under,38,0.5
Packers,Vikings,2011,under,29,0.32
Packers,Steelers,2011,under,39,0.59
Texans,Ravens,2011,under,46,0.52
Texans,Lions,2011,under,49,0.49
Texans,Chiefs,2011,under,41,0.38
Texans,Bills,2011,under,33,0.48
Commanders,Packers,2011,under,39,0.53
Commanders,Steelers,2011,under,46,0.32
Commanders,Vikings,2011,under,39,0.46
Commanders,Eagles,2011,under,35,0.32
Commanders,Bills,2011,under,49,0.56
Commanders,Chiefs,2011,under,43,0.54
Commanders,Lions,2011,under,41,0.33
Commanders,Ravens,2011,under,28,0.48
Texans,Packers,2011,under,41,0.35
Texans,Steelers,2011,under,44,0.59
Texans,Vikings,2011,under,42,0.57
Texans,Eagles,2011,under,32,0.57
Texans,Bills,2011,under,35,0.48
Texans,Chiefs,2011,under,44,0.32
Texans,Lions,2011,under,32,0.51
Texans,Ravens,2011,under,50,0.59
Packers,Steelers,2011,under,31,0.55
Packers,Vikings,2011,under,38,0.37
Packers,Eagles,2011,under,35,0.53
Packers,Bills,2011,under,36,0.5
Packers,Chiefs,2011,under,29,0.37
Packers,Lions,2011,under,32,0.4
Packers,Ravens,2011,under,33,0.44
Steelers,Vikings,2011,under,30,0.46
Steelers,Eagles,2011,under,27,0.45
Steelers,Bills,2011,under,37,0.57
Steelers,Chiefs,2011,under,31,0.39
Steelers,Lions,2011,under,25,0.6
Steelers,Ravens,2011,under,21,0.41
Vikings,Eagles,2011,under,29,0.36
Vikings,Bills,2011,under,37,0.46
Vikings,Chiefs,2011,under,47,0.31
Vikings,Lions,2011,under,25,0.46
Vikings,Ravens,2011,under,42,0.32
Eagles,Bills,2011,under,41,0.52
Eagles,Chiefs,2011,under,29,0.4
Eagles,Lions,2011,under,33,0.49
Eagles,Ravens,2011,under,33,0.51
Bills,Chiefs,2011,under,33,0.5
Bills,Lions,2011,under,41,0.59
Bills,Ravens,2011,under,34,0.37
Chiefs,Lions,2011,under,21,0.59
Chiefs,Ravens,2011,under,21,0.42
Lions,Ravens,2011,under,17,0.33
Commanders,Texans,2011,under,43,0.32
Commanders,Packers,2011,under,44,0.36
Commanders,Steelers,2011,under,44,0.43
Commanders,Vikings,2011,under,39,0.34
Commanders,Eagles,2011,under,48,0.52
Commanders,Bills,2011,under,40,0.45
Commanders,Chiefs,2011,under,37,0.35
Commanders,Lions,2011,under,39,0.57
Commanders,Ravens,2011,under,37,0.57
Texans,Packers,2011,under,40,0.35
Texans,Steelers,2011,under,40,0.33
Texans,Vikings,2011,under,45,0.3
Texans,Eagles,2011,under,44,0.42
Texans,Bills,2011,under,47,0.34
Texans,Chiefs,2011,under,33,0.38
Texans,Lions,2011,under,17,0.52
Texans,Ravens,2011,under,18,0.36
Packers,Steelers,2011,under,35,0.39
Packers,Vikings,2011,under,37,0.55
Packers,Eagles,2011,under,46,0.56
Packers,Bills,2011,under,36,0.57
Packers,Chiefs,2011,under,45,0.44
Packers,Lions,2011,under,40,0.31
Packers,Ravens,2011,under,9,0.74
Steelers,Vikings,2011,under,39,0.53
Steelers,Eagles,2011,under,44,0.46
Steelers,Bills,2011,under,35,0.53
Steelers,Chiefs,2011,under,42,0.6
Steelers,Lions,2011,under,33,0.39
Steelers,Ravens,2011,under,42,0.54
Vikings,Eagles,2011,under,28,0.56
Vikings,Bills,2011,under,31,0.39
Vikings,Chiefs,2011,under,18,0.32
Vikings,Lions,2011,under,41,0.52
Vikings,Ravens,2011,under,17,0.56
Eagles,Bills,2011,under,34,0.4
Eagles,Chiefs,2011,under,24,0.53
Eagles,Lions,2011,under,33,0.53
Eagles,Ravens,2011,under,25,0.56
Bills,Chiefs,2011,under,41,0.32
Bills,Lions,2011,under,40,0.48
Bills,Ravens,2011,under,25,0.44
Chiefs,Lions,2011,under,35,0.31
Chiefs,Ravens,2011,under,43,0.51
Lions,Ravens,2011,under,29,0.34
Commanders,Packers,2011,under,48,0.56
Commanders,Steelers,2011,under,39,0.36
Commanders,Vikings,2011,under,50,0.48
Commanders,Eagles,2011,under,38,0.34
Commanders,Texans,2011,under,46,0.55
Commanders,Bills,2011,under,49,0.34
Commanders,Chiefs,2011,under,28,0.54
Commanders,Lions,2011,under,48,0.47
Commanders,Ravens,2011,under,32,0.34
Texans,Packers,2011,under,50,0.32
Texans,Steelers,2011,under,43,0.58
Texans,Vikings,2011,under,44,0.59
Texans,Eagles,2011,under,41,0.4
Texans,Bills,2011,under,41,0.6
Texans,Chiefs,2011,under,38,0.43
Texans,Lions,2011,under,30,0.47
Texans,Ravens,2011,under,42,0.34
Packers,Steelers,2011,under,41,0.54
Packers,Vikings,2011,under,35,0.41
Packers,Eagles,2011,under,42,0.42
Packers,Bills,2011,under,38,0.52
Packers,Chiefs,2011,under,31,0.58
Packers,Lions,2011,under,37,0.47
Packers,Ravens,2011,under,50,0.4
Steelers,Vikings,2011,under,43,0.36
Steelers,Eagles,2011,under,44,0.48
Steelers,Bills,2011,under,35,0.53
Steelers,Chiefs,2011,under,30,0.52
Steelers,Lions,2011,under,41,0.46
Steelers,Ravens,2011,under,31,0.38
Vikings,Eagles,2011,under,49,0.45
Vikings,Bills,2011,under,34,0.54
Vikings,Chiefs,2011,under,28,0.43
Vikings,Lions,2011,under,32,0.5
Vikings,Ravens,2011,under,50,0.34
Eagles,Bills,2011,under,22,0.34
Eagles,Chiefs,2011,under,32,0.4
Eagles,Lions,2011,under,40,0.59
Eagles,Ravens,2011,under,23,0.33
Bills,Chiefs,2011,under,22,0.53
Bills,Lions,2011,under,40,0.52
Bills,Ravens,2011,under,5,0.79
Chiefs,Lions,2011,under,30,0.59
Chiefs,Ravens,2011,under,31,0.31
Lions,Ravens,2011,over,4,0.75
Vikings,Eagles,2012,under,33,0.55
Steelers,Ravens,2012,under,24,0.48
Steelers,Lions,2012,under,26,0.39
Steelers,Chiefs,2012,under,27,0.43
Steelers,Bills,2012,under,36,0.33
Steelers,Eagles,2012,under,39,0.45
Lions,Ravens,2012,under,30,0.51
Chiefs,Ravens,2012,under,31,0.49
Chiefs,Lions,2012,under,11,0.54
Bills,Ravens,2012,under,42,0.36
Bills,Lions,2012,under,31,0.58
Bills,Chiefs,2012,under,18,0.49
Eagles,Ravens,2012,under,41,0.59
Eagles,Lions,2012,under,28,0.51
Eagles,Chiefs,2012,under,26,0.41
Eagles,Bills,2012,under,30,0.33
Vikings,Ravens,2012,under,26,0.36
Vikings,Lions,2012,under,43,0.49
Vikings,Chiefs,2012,under,38,0.56
Vikings,Bills,2012,under,37,0.56
Vikings,Eagles,2012,under,34,0.56
Steelers,Ravens,2012,under,35,0.31
Steelers,Lions,2012,under,37,0.44
Steelers,Chiefs,2012,under,23,0.5
Steelers,Bills,2012,under,35,0.39
Steelers,Eagles,2012,under,35,0.59
Steelers,Vikings,2012,under,34,0.38
Packers,Ravens,2012,under,28,0.52
Packers,Lions,2012,under,47,0.4
Packers,Chiefs,2012,under,41,0.58
Packers,Bills,2012,under,47,0.4
Commanders,Texans,2012,under,48,0.35
Commanders,Packers,2012,under,44,0.46
Commanders,Steelers,2012,under,37,0.6
Commanders,Vikings,2012,under,34,0.32
Commanders,Eagles,2012,under,49,0.54
Commanders,Bills,2012,under,39,0.58
Commanders,Chiefs,2012,under,24,0.5
Commanders,Lions,2012,under,50,0.4
Commanders,Ravens,2012,under,45,0.58
Texans,Packers,2012,under,35,0.54
Texans,Steelers,2012,under,37,0.49
Texans,Vikings,2012,under,25,0.52
Texans,Eagles,2012,under,47,0.45
Texans,Bills,2012,under,48,0.52
Texans,Chiefs,2012,under,29,0.5
Texans,Lions,2012,under,44,0.4
Texans,Ravens,2012,under,48,0.56
Packers,Steelers,2012,under,42,0.56
Packers,Vikings,2012,under,33,0.41
Packers,Eagles,2012,under,44,0.36
Packers,Bills,2012,under,19,0.32
Packers,Chiefs,2012,under,30,0.54
Packers,Lions,2012,under,19,0.33
Packers,Ravens,2012,under,40,0.6
Steelers,Vikings,2012,under,41,0.31
Texans,Bills,2012,under,47,0.53
Commanders,Texans,2012,under,40,0.5
Commanders,Packers,2012,under,50,0.5
Commanders,Steelers,2012,under,37,0.32
Commanders,Vikings,2012,under,47,0.49
Commanders,Eagles,2012,under,37,0.3
Commanders,Bills,2012,under,35,0.6
Commanders,Chiefs,2012,under,43,0.34
Commanders,Lions,2012,under,32,0.56
Commanders,Ravens,2012,under,31,0.33
Texans,Packers,2012,under,45,0.38
Texans,Steelers,2012,under,49,0.44
Texans,Vikings,2012,under,35,0.36
Texans,Eagles,2012,under,47,0.39
Texans,Bills,2012,under,28,0.43
Texans,Chiefs,2012,under,26,0.52
Texans,Lions,2012,under,49,0.5
Texans,Ravens,2012,under,29,0.53
Packers,Steelers,2012,under,47,0.43
Packers,Vikings,2012,under,41,0.35
Packers,Eagles,2012,under,36,0.31
Packers,Bills,2012,under,36,0.49
Packers,Chiefs,2012,under,21,0.47
Packers,Lions,2012,under,33,0.48
Packers,Ravens,2012,under,30,0.37
Steelers,Vikings,2012,under,38,0.38
Steelers,Eagles,2012,under,35,0.41
Steelers,Bills,2012,under,40,0.57
Steelers,Chiefs,2012,under,43,0.54
Steelers,Lions,2012,under,18,0.37
Steelers,Ravens,2012,under,39,0.32
Vikings,Eagles,2012,under,37,0.51
Vikings,Bills,2012,under,47,0.44
Vikings,Chiefs,2012,under,35,0.52
Vikings,Lions,2012,under,20,0.48
Lions,Ravens,2012,under,35,0.37
Chiefs,Ravens,2012,under,22,0.54
Chiefs,Lions,2012,under,35,0.55
Bills,Ravens,2012,under,4,0.5
Bills,Lions,2012,under,16,0.52
Bills,Chiefs,2012,under,21,0.33
Eagles,Ravens,2012,under,24,0.4
Eagles,Lions,2012,under,22,0.51
Eagles,Chiefs,2012,under,12,0.33
Eagles,Bills,2012,under,39,0.37
Vikings,Ravens,2012,under,5,0.64
Vikings,Lions,2012,under,32,0.34
Vikings,Chiefs,2012,under,32,0.35
Vikings,Bills,2012,under,20,0.43
Vikings,Eagles,2012,under,34,0.41
Steelers,Ravens,2012,under,41,0.6
Steelers,Lions,2012,under,25,0.53
Steelers,Chiefs,2012,under,28,0.34
Steelers,Bills,2012,under,34,0.42
Steelers,Eagles,2012,under,26,0.47
Steelers,Vikings,2012,under,33,0.54
Packers,Ravens,2012,under,24,0.47
Packers,Lions,2012,under,28,0.34
Packers,Chiefs,2012,under,37,0.57
Packers,Bills,2012,under,24,0.49
Packers,Eagles,2012,under,36,0.45
Packers,Vikings,2012,under,46,0.35
Packers,Steelers,2012,under,24,0.38
Texans,Ravens,2012,under,34,0.34
Texans,Lions,2012,under,35,0.55
Texans,Chiefs,2012,under,22,0.53
Commanders,Texans,2012,under,49,0.36
Commanders,Packers,2012,under,47,0.38
Commanders,Steelers,2012,under,38,0.33
Commanders,Vikings,2012,under,37,0.35
Commanders,Eagles,2012,under,35,0.49
Commanders,Bills,2012,under,46,0.57
Commanders,Chiefs,2012,under,27,0.52
Commanders,Lions,2012,under,28,0.43
Commanders,Ravens,2012,under,17,0.39
Texans,Packers,2012,under,46,0.58
Texans,Steelers,2012,under,48,0.39
Texans,Vikings,2012,under,40,0.39
Texans,Eagles,2012,under,33,0.49
Texans,Bills,2012,under,41,0.52
Texans,Chiefs,2012,under,33,0.56
Texans,Lions,2012,under,33,0.58
Texans,Ravens,2012,under,44,0.37
Packers,Steelers,2012,under,38,0.42
Packers,Vikings,2012,under,41,0.44
Packers,Eagles,2012,under,45,0.31
Packers,Bills,2012,under,27,0.5
Packers,Chiefs,2012,under,15,0.31
Packers,Lions,2012,under,20,0.44
Packers,Ravens,2012,under,43,0.36
Steelers,Vikings,2012,under,38,0.4
Steelers,Eagles,2012,under,48,0.54
Steelers,Bills,2012,under,33,0.51
Steelers,Chiefs,2012,under,28,0.31
Steelers,Lions,2012,under,42,0.53
Steelers,Ravens,2012,under,22,0.46
Vikings,Eagles,2012,under,39,0.4
Vikings,Bills,2012,under,35,0.32
Vikings,Chiefs,2012,under,37,0.5
Vikings,Lions,2012,under,22,0.58
Vikings,Ravens,2012,under,14,0.5
Eagles,Bills,2012,under,32,0.51
Eagles,Chiefs,2012,under,25,0.51
Eagles,Lions,2012,under,23,0.32
Eagles,Ravens,2012,under,29,0.32
Bills,Chiefs,2012,under,25,0.31
Bills,Lions,2012,under,11,0.52
Bills,Ravens,2012,under,35,0.33
Chiefs,Lions,2012,under,23,0.57
Chiefs,Ravens,2012,under,32,0.49
Lions,Ravens,2012,under,30,0.35
Vikings,Ravens,2012,under,32,0.51
Eagles,Bills,2012,under,24,0.43
Eagles,Chiefs,2012,under,17,0.52
Eagles,Lions,2012,under,30,0.43
Eagles,Ravens,2012,under,17,0.48
Bills,Chiefs,2012,under,39,0.6
Bills,Lions,2012,under,35,0.37
Bills,Ravens,2012,under,15,0.44
Chiefs,Lions,2012,under,19,0.47
Chiefs,Ravens,2012,under,24,0.59
Lions,Ravens,2012,under,33,0.48
Texans,Eagles,2012,under,33,0.5
Texans,Vikings,2012,under,28,0.54
Texans,Steelers,2012,under,49,0.34
Texans,Packers,2012,under,33,0.46
Commanders,Ravens,2012,under,26,0.5
Commanders,Lions,2012,under,26,0.39
Commanders,Chiefs,2012,under,46,0.43
Commanders,Bills,2012,under,42,0.46
Commanders,Eagles,2012,under,48,0.42
Commanders,Vikings,2012,under,43,0.53
Commanders,Steelers,2012,under,47,0.5
Commanders,Packers,2012,under,44,0.38
Commanders,Texans,2012,under,50,0.39
Lions,Ravens,2012,under,23,0.49
Chiefs,Ravens,2012,under,6,0.62
Chiefs,Lions,2012,under,29,0.49
Bills,Ravens,2012,over,2,0.61
Bills,Lions,2012,under,14,0.59
Bills,Chiefs,2012,under,25,0.41
Eagles,Ravens,2012,under,7,0.52
Eagles,Lions,2012,under,25,0.39
Eagles,Chiefs,2012,under,35,0.56
Eagles,Bills,2012,under,39,0.3
Vikings,Ravens,2012,under,38,0.52
Vikings,Lions,2012,under,42,0.51
Commanders,Texans,2012,under,50,0.49
Commanders,Packers,2012,under,39,0.42
Commanders,Steelers,2012,under,45,0.51
Commanders,Vikings,2012,under,42,0.33
Commanders,Eagles,2012,under,37,0.48
Commanders,Bills,2012,under,39,0.37
Commanders,Chiefs,2012,under,46,0.55
Commanders,Lions,2012,under,32,0.32
Commanders,Ravens,2012,under,46,0.36
Texans,Packers,2012,under,45,0.41
Texans,Steelers,2012,under,46,0.47
Texans,Vikings,2012,under,35,0.55
Texans,Eagles,2012,under,46,0.53
Texans,Bills,2012,under,42,0.44
Texans,Chiefs,2012,under,32,0.51
Texans,Lions,2012,under,20,0.57
Texans,Ravens,2012,under,28,0.5
Packers,Steelers,2012,under,44,0.46
Packers,Vikings,2012,under,43,0.34
Packers,Eagles,2012,under,40,0.51
Vikings,Chiefs,2012,under,31,0.3
Vikings,Bills,2012,under,28,0.34
Commanders,Eagles,2013,under,41,0.37
Commanders,Texans,2013,under,48,0.55
Commanders,Packers,2013,under,47,0.55
Commanders,Steelers,2013,under,44,0.5
Commanders,Vikings,2013,under,44,0.56
Commanders,Eagles,2013,under,41,0.36
Commanders,Bills,2013,under,40,0.34
Commanders,Chiefs,2013,under,42,0.42
